Item_Name,Location,Day_of_Week,Count
Item_1,Location_A,Monday,99
Item_1,Location_A,Tuesday,74
Item_1,Location_A,Wednesday,73
Item_1,Location_A,Thursday,79
Item_1,Location_A,Friday,91
Item_1,Location_A,Saturday,46
Item_1,Location_A,Sunday,93
Item_1,Location_B,Monday,13
Item_1,Location_B,Tuesday,0
Item_1,Location_B,Wednesday,46
Item_1,Location_B,Thursday,92
Item_1,Location_B,Friday,14
Item_1,Location_B,Saturday,70
Item_1,Location_B,Sunday,85
Item_1,Location_C,Monday,83
Item_1,Location_C,Tuesday,44
Item_1,Location_C,Wednesday,16
Item_1,Location_C,Thursday,26
Item_1,Location_C,Friday,74
Item_1,Location_C,Saturday,83
Item_1,Location_C,Sunday,60
Item_1,Location_D,Monday,39
Item_1,Location_D,Tuesday,87
Item_1,Location_D,Wednesday,10
Item_1,Location_D,Thursday,51
Item_1,Location_D,Friday,72
Item_1,Location_D,Saturday,34
Item_1,Location_D,Sunday,57
Item_2,Location_A,Monday,99
Item_2,Location_A,Tuesday,80
Item_2,Location_A,Wednesday,86
Item_2,Location_A,Thursday,72
Item_2,Location_A,Friday,24
Item_2,Location_A,Saturday,61
Item_2,Location_A,Sunday,24
Item_2,Location_B,Monday,62
Item_2,Location_B,Tuesday,28
Item_2,Location_B,Wednesday,27
Item_2,Location_B,Thursday,69
Item_2,Location_B,Friday,13
Item_2,Location_B,Saturday,17
Item_2,Location_B,Sunday,20
Item_2,Location_C,Monday,10
Item_2,Location_C,Tuesday,41
Item_2,Location_C,Wednesday,52
Item_2,Location_C,Thursday,20
Item_2,Location_C,Friday,84
Item_2,Location_C,Saturday,23
Item_2,Location_C,Sunday,16
Item_2,Location_D,Monday,77
Item_2,Location_D,Tuesday,69
Item_2,Location_D,Wednesday,69
Item_2,Location_D,Thursday,98
Item_2,Location_D,Friday,32
Item_2,Location_D,Saturday,31
Item_2,Location_D,Sunday,3
Item_3,Location_A,Monday,58
Item_3,Location_A,Tuesday,37
Item_3,Location_A,Wednesday,50
Item_3,Location_A,Thursday,59
Item_3,Location_A,Friday,82
Item_3,Location_A,Saturday,94
Item_3,Location_A,Sunday,69
Item_3,Location_B,Monday,28
Item_3,Location_B,Tuesday,76
Item_3,Location_B,Wednesday,44
Item_3,Location_B,Thursday,43
Item_3,Location_B,Friday,20
Item_3,Location_B,Saturday,2
Item_3,Location_B,Sunday,67
Item_3,Location_C,Monday,88
Item_3,Location_C,Tuesday,31
Item_3,Location_C,Wednesday,56
Item_3,Location_C,Thursday,61
Item_3,Location_C,Friday,56
Item_3,Location_C,Saturday,4
Item_3,Location_C,Sunday,55
Item_3,Location_D,Monday,7
Item_3,Location_D,Tuesday,14
Item_3,Location_D,Wednesday,87
Item_3,Location_D,Thursday,74
Item_3,Location_D,Friday,81
Item_3,Location_D,Saturday,56
Item_3,Location_D,Sunday,78
Item_4,Location_A,Monday,13
Item_4,Location_A,Tuesday,93
Item_4,Location_A,Wednesday,12
Item_4,Location_A,Thursday,91
Item_4,Location_A,Friday,86
Item_4,Location_A,Saturday,52
Item_4,Location_A,Sunday,25
Item_4,Location_B,Monday,49
Item_4,Location_B,Tuesday,42
Item_4,Location_B,Wednesday,14
Item_4,Location_B,Thursday,76
Item_4,Location_B,Friday,73
Item_4,Location_B,Saturday,86
Item_4,Location_B,Sunday,43
Item_4,Location_C,Monday,88
Item_4,Location_C,Tuesday,62
Item_4,Location_C,Wednesday,59
Item_4,Location_C,Thursday,91
Item_4,Location_C,Friday,4
Item_4,Location_C,Saturday,39
Item_4,Location_C,Sunday,8
Item_4,Location_D,Monday,13
Item_4,Location_D,Tuesday,3
Item_4,Location_D,Wednesday,91
Item_4,Location_D,Thursday,46
Item_4,Location_D,Friday,32
Item_4,Location_D,Saturday,86
Item_4,Location_D,Sunday,92
Item_5,Location_A,Monday,10
Item_5,Location_A,Tuesday,6
Item_5,Location_A,Wednesday,29
Item_5,Location_A,Thursday,8
Item_5,Location_A,Friday,73
Item_5,Location_A,Saturday,76
Item_5,Location_A,Sunday,35
Item_5,Location_B,Monday,14
Item_5,Location_B,Tuesday,8
Item_5,Location_B,Wednesday,89
Item_5,Location_B,Thursday,89
Item_5,Location_B,Friday,13
Item_5,Location_B,Saturday,39
Item_5,Location_B,Sunday,70
Item_5,Location_C,Monday,46
Item_5,Location_C,Tuesday,78
Item_5,Location_C,Wednesday,80
Item_5,Location_C,Thursday,91
Item_5,Location_C,Friday,24
Item_5,Location_C,Saturday,18
Item_5,Location_C,Sunday,39
Item_5,Location_D,Monday,74
Item_5,Location_D,Tuesday,84
Item_5,Location_D,Wednesday,79
Item_5,Location_D,Thursday,63
Item_5,Location_D,Friday,29
Item_5,Location_D,Saturday,75
Item_5,Location_D,Sunday,44
Item_6,Location_A,Monday,53
Item_6,Location_A,Tuesday,49
Item_6,Location_A,Wednesday,69
Item_6,Location_A,Thursday,66
Item_6,Location_A,Friday,51
Item_6,Location_A,Saturday,14
Item_6,Location_A,Sunday,46
Item_6,Location_B,Monday,5
Item_6,Location_B,Tuesday,81
Item_6,Location_B,Wednesday,59
Item_6,Location_B,Thursday,89
Item_6,Location_B,Friday,55
Item_6,Location_B,Saturday,47
Item_6,Location_B,Sunday,94
Item_6,Location_C,Monday,24
Item_6,Location_C,Tuesday,22
Item_6,Location_C,Wednesday,90
Item_6,Location_C,Thursday,79
Item_6,Location_C,Friday,55
Item_6,Location_C,Saturday,62
Item_6,Location_C,Sunday,5
Item_6,Location_D,Monday,19
Item_6,Location_D,Tuesday,27
Item_6,Location_D,Wednesday,97
Item_6,Location_D,Thursday,85
Item_6,Location_D,Friday,96
Item_6,Location_D,Saturday,17
Item_6,Location_D,Sunday,88
Item_7,Location_A,Monday,79
Item_7,Location_A,Tuesday,8
Item_7,Location_A,Wednesday,27
Item_7,Location_A,Thursday,7
Item_7,Location_A,Friday,42
Item_7,Location_A,Saturday,93
Item_7,Location_A,Sunday,47
Item_7,Location_B,Monday,78
Item_7,Location_B,Tuesday,97
Item_7,Location_B,Wednesday,84
Item_7,Location_B,Thursday,10
Item_7,Location_B,Friday,22
Item_7,Location_B,Saturday,9
Item_7,Location_B,Sunday,45
Item_7,Location_C,Monday,67
Item_7,Location_C,Tuesday,94
Item_7,Location_C,Wednesday,81
Item_7,Location_C,Thursday,50
Item_7,Location_C,Friday,31
Item_7,Location_C,Saturday,3
Item_7,Location_C,Sunday,94
Item_7,Location_D,Monday,87
Item_7,Location_D,Tuesday,50
Item_7,Location_D,Wednesday,88
Item_7,Location_D,Thursday,14
Item_7,Location_D,Friday,23
Item_7,Location_D,Saturday,26
Item_7,Location_D,Sunday,86
Item_8,Location_A,Monday,74
Item_8,Location_A,Tuesday,84
Item_8,Location_A,Wednesday,26
Item_8,Location_A,Thursday,53
Item_8,Location_A,Friday,82
Item_8,Location_A,Saturday,83
Item_8,Location_A,Sunday,34
Item_8,Location_B,Monday,58
Item_8,Location_B,Tuesday,72
Item_8,Location_B,Wednesday,94
Item_8,Location_B,Thursday,48
Item_8,Location_B,Friday,26
Item_8,Location_B,Saturday,31
Item_8,Location_B,Sunday,57
Item_8,Location_C,Monday,61
Item_8,Location_C,Tuesday,85
Item_8,Location_C,Wednesday,23
Item_8,Location_C,Thursday,27
Item_8,Location_C,Friday,52
Item_8,Location_C,Saturday,65
Item_8,Location_C,Sunday,69
Item_8,Location_D,Monday,47
Item_8,Location_D,Tuesday,97
Item_8,Location_D,Wednesday,53
Item_8,Location_D,Thursday,3
Item_8,Location_D,Friday,80
Item_8,Location_D,Saturday,30
Item_8,Location_D,Sunday,39
Item_9,Location_A,Monday,31
Item_9,Location_A,Tuesday,29
Item_9,Location_A,Wednesday,5
Item_9,Location_A,Thursday,97
Item_9,Location_A,Friday,81
Item_9,Location_A,Saturday,8
Item_9,Location_A,Sunday,89
Item_9,Location_B,Monday,88
Item_9,Location_B,Tuesday,29
Item_9,Location_B,Wednesday,89
Item_9,Location_B,Thursday,34
Item_9,Location_B,Friday,13
Item_9,Location_B,Saturday,55
Item_9,Location_B,Sunday,36
Item_9,Location_C,Monday,65
Item_9,Location_C,Tuesday,59
Item_9,Location_C,Wednesday,97
Item_9,Location_C,Thursday,79
Item_9,Location_C,Friday,83
Item_9,Location_C,Saturday,0
Item_9,Location_C,Sunday,69
Item_9,Location_D,Monday,55
Item_9,Location_D,Tuesday,7
Item_9,Location_D,Wednesday,69
Item_9,Location_D,Thursday,76
Item_9,Location_D,Friday,43
Item_9,Location_D,Saturday,18
Item_9,Location_D,Sunday,96
Item_10,Location_A,Monday,77
Item_10,Location_A,Tuesday,95
Item_10,Location_A,Wednesday,83
Item_10,Location_A,Thursday,9
Item_10,Location_A,Friday,39
Item_10,Location_A,Saturday,22
Item_10,Location_A,Sunday,82
Item_10,Location_B,Monday,75
Item_10,Location_B,Tuesday,99
Item_10,Location_B,Wednesday,16
Item_10,Location_B,Thursday,2
Item_10,Location_B,Friday,96
Item_10,Location_B,Saturday,27
Item_10,Location_B,Sunday,28
Item_10,Location_C,Monday,45
Item_10,Location_C,Tuesday,82
Item_10,Location_C,Wednesday,73
Item_10,Location_C,Thursday,27
Item_10,Location_C,Friday,35
Item_10,Location_C,Saturday,77
Item_10,Location_C,Sunday,26
Item_10,Location_D,Monday,9
Item_10,Location_D,Tuesday,0
Item_10,Location_D,Wednesday,19
Item_10,Location_D,Thursday,17
Item_10,Location_D,Friday,14
Item_10,Location_D,Saturday,29
Item_10,Location_D,Sunday,31
Item_11,Location_A,Monday,63
Item_11,Location_A,Tuesday,53
Item_11,Location_A,Wednesday,96
Item_11,Location_A,Thursday,16
Item_11,Location_A,Friday,69
Item_11,Location_A,Saturday,98
Item_11,Location_A,Sunday,93
Item_11,Location_B,Monday,87
Item_11,Location_B,Tuesday,58
Item_11,Location_B,Wednesday,66
Item_11,Location_B,Thursday,17
